Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
GUSEL,1.284669302,0.523211486,3.154317636,0.516395994,3.195948918,2.181969925,0,CERTO
IFX,1.688457958,0.568633303,5.013583024,0.559671268,5.093865695,1.800915793,0,CERTO
IXE,1.294370213,0.52323128,3.202014696,0.516359111,3.244629976,2.163938312,0,CERTO
MTX,0.113992087,0.011426175,1.137230579,0.011048901,1.176062274,0.852091581,0,CERTO
NETA,1.126911093,0.042142441,30.13419706,0.040168685,31.61489139,0.596437147,0,CERTO
PBO,1.430797231,0.633528585,3.231394388,0.626039456,3.270050628,2.405846845,0,CERTO
RISAN,1.036836104,0.411281278,2.613853737,0.405767537,2.649371887,2.119716869,0,CERTO
SECU,1.515208244,0.631268676,3.636892039,0.623252028,3.683671963,2.238524883,0,CERTO
SONELO,1.764369926,0.292907113,10.62794686,0.285329376,10.91020238,1.091500374,0,CERTO
TILDRA,1.136151698,0.369270712,3.495648689,0.363262281,3.55346742,1.743970665,0,CERTO
USK,1.377970333,0.57081073,3.326500603,0.563514698,3.36957003,2.223963978,0,CERTO
ADA,1.091712621,0.678716137,1.756016077,0.674023607,1.768241402,4.123711556,0,GUSEL
APRE,1.099848002,0.539444948,2.242426467,0.533864571,2.265866089,2.751315345,0,GUSEL
BIME,0.575604044,0.258212483,1.283129349,0.255208667,1.298231834,2.444996385,0,GUSEL
BRODA,1.148063423,0.611113148,2.156801288,0.605514275,2.176744097,3.108398931,0,GUSEL
CERTO,0.778410442,0.317025777,1.911273027,0.312896115,1.936498371,2.181969925,0,GUSEL
DEUCRAVA,0.677278888,0.069771159,6.574445618,0.067494377,6.796220881,0.862348728,0,GUSEL
ETA,0.886212527,0.528918164,1.484866086,0.52494841,1.49609491,3.797543832,0,GUSEL
FUM,0.923269133,0.322531474,2.642923126,0.317617876,2.683809563,1.863613799,0,GUSEL
IFX,1.314313306,0.581156923,2.972380431,0.574275437,3.007998175,2.40181716,0,GUSEL
IXE,1.00755129,0.639325358,1.587860687,0.635094583,1.598438452,4.308973559,0,GUSEL
MTX,0.088732631,0.009981509,0.788806552,0.009668198,0.814368929,0.897068934,0,GUSEL
NETA,0.877199363,0.035524497,21.66051019,0.033900094,22.69842428,0.611256135,0,GUSEL
PBO,1.113747505,0.759610876,1.632985446,0.755379607,1.642132636,5.121780232,0,GUSEL
RISAN,0.80708405,0.472406602,1.378864439,0.468727797,1.389686443,3.659531015,0,GUSEL
SECU,1.179453919,0.820488583,1.695467281,0.816153728,1.704472455,5.400835192,0,GUSEL
SONELO,1.373403975,0.267336246,7.055678028,0.261025737,7.226254761,1.197648423,0,GUSEL
TILDRA,0.884392346,0.374861835,2.086501609,0.370194476,2.11280792,2.283468692,0,GUSEL
USK,1.072626496,0.677188537,1.698976781,0.672657603,1.710420868,4.261649018,0,GUSEL
ADA,0.925608541,0.577485004,1.483590336,0.573521929,1.493842045,4.154576282,0,SECU
APRE,0.932506124,0.470610243,1.847744887,0.46593601,1.866281316,2.866144572,0,SECU
BIME,0.488025886,0.223775882,1.064320531,0.221243428,1.076503231,2.513711828,0,SECU
BRODA,0.973385568,0.538479026,1.759547574,0.533845674,1.774819035,3.310633403,0,SECU
CERTO,0.65997529,0.274960045,1.584111549,0.271468255,1.604487358,2.238524883,0,SECU
DEUCRAVA,0.574230902,0.059689961,5.524230898,0.057749732,5.709829639,0.865774964,0,SECU
ETA,0.751375287,0.463781271,1.217308367,0.460526415,1.22591192,4.062241834,0,SECU
FUM,0.782793731,0.278865983,2.197349488,0.274696112,2.230705123,1.898971043,0,SECU
GUSEL,0.847849995,0.589807902,1.218786002,0.586691793,1.225259367,5.400835192,0,SECU
IFX,1.11434053,0.505244943,2.457728344,0.499445095,2.48626892,2.477955336,0,SECU
IXE,0.854252357,0.53497734,1.364071025,0.531335193,1.373421333,4.188013976,0,SECU
MTX,0.075231961,0.008542392,0.66256006,0.008275384,0.683937811,0.900927793,0,SECU
NETA,0.743733476,0.030311899,18.24826243,0.028928538,19.12089288,0.612472744,0,SECU
PBO,0.944290817,0.682263191,1.306951862,0.679034048,1.313167064,6.03042236,0,SECU
RISAN,0.684286208,0.422840067,1.107387051,0.419879343,1.115195647,4.071608393,0,SECU
SONELO,1.164440554,0.231106647,5.867082671,0.225715329,6.007220728,1.212033693,0,SECU
TILDRA,0.749832046,0.324873161,1.730669581,0.320930916,1.751928747,2.343336001,0,SECU
USK,0.90942637,0.619316376,1.335434285,0.615852942,1.342944501,5.101539015,0,SECU
ADA,12.30339516,1.37992844,109.6966538,1.336556053,113.2564041,0.895859279,0,MTX
APRE,12.39507936,1.326529697,115.8194896,1.28395659,119.6598028,0.877062159,0,MTX
BIME,6.486948914,0.668424908,62.95472492,0.646615024,65.07814485,0.862439373,0,MTX
BRODA,12.93845806,1.416716574,118.1631527,1.371706906,122.0404273,0.886131153,0,MTX
CERTO,8.772538742,0.879329151,87.51834947,0.850295109,90.50673718,0.852091581,0,MTX
DEUCRAVA,7.63280522,0.341820187,170.4396572,0.326669301,178.3446295,0.631051762,0,MTX
ETA,9.987447888,1.119310879,89.11654231,1.084117714,92.00948757,0.895543167,0,MTX
FUM,10.40506884,0.978839323,110.6059545,0.945643268,114.4886887,0.829215163,0,MTX
GUSEL,11.26981123,1.267737949,100.1852514,1.227944687,103.4318943,0.897068934,0,MTX
IFX,14.81206285,1.531298612,143.2752594,1.481405527,148.1007069,0.863692657,0,MTX
IXE,11.35491284,1.272051088,101.3591725,1.232048228,104.6501612,0.895377893,0,MTX
NETA,9.885871224,0.212013569,460.9631851,0.200450313,487.5544885,0.510122869,0,MTX
PBO,12.55172414,1.46044095,107.8754871,1.41529645,111.3164516,0.911153418,0,MTX
RISAN,9.095684891,1.012364943,81.72100804,0.98043567,84.38236816,0.892730671,0,MTX
SECU,13.29222302,1.509297134,117.0632269,1.46212124,120.8403161,0.900927793,0,MTX
SONELO,15.47800353,1.059956399,226.0174037,1.019274432,235.0383624,0.731018113,0,MTX
TILDRA,9.966934784,1.010396331,98.31764622,0.977195712,101.658028,0.856295138,0,MTX
USK,12.08829813,1.369308135,106.7159012,1.326461443,110.1629847,0.899936152,0,MTX
ADA,1.182442456,0.410551819,3.405587542,0.40426119,3.458581226,1.852840418,0,FUM
APRE,1.19125395,0.376558067,3.768571435,0.370280682,3.832460195,1.701847578,0,FUM
BIME,0.62344123,0.183398996,2.119308043,0.180152483,2.15749992,1.601843208,0,FUM
BRODA,1.243476449,0.411170958,3.760561511,0.404582416,3.821801484,1.771099424,0,FUM
CERTO,0.843102422,0.235796667,3.014553608,0.231451845,3.071142913,1.53831834,0,FUM
DEUCRAVA,0.733566047,0.063604955,8.460333685,0.061374779,8.767757023,0.801561816,0,FUM
ETA,0.959863701,0.332739426,2.768948465,0.327633433,2.812101057,1.850048622,0,FUM
GUSEL,1.0831078,0.378368932,3.100472603,0.372604679,3.148437402,1.863613799,0,FUM
IFX,1.423542993,0.421344033,4.809548722,0.413922508,4.895782694,1.609916522,0,FUM
IXE,1.091286661,0.377982071,3.150695941,0.372177283,3.199836833,1.848592819,0,FUM
MTX,0.096107005,0.009041105,1.021618131,0.008734487,1.057481224,0.829215163,0,FUM
NETA,0.950101472,0.033976229,26.56836344,0.032363804,27.89204862,0.588428202,0,FUM
PBO,1.20630861,0.452909347,3.21296187,0.446479096,3.259235373,2.000758959,0,FUM
RISAN,0.87415903,0.298765463,2.557705304,0.294119963,2.598103179,1.82562751,0,FUM
SECU,1.27747574,0.455093742,3.585951897,0.448288745,3.640386435,1.898971043,0,FUM
SONELO,1.487544558,0.227786806,9.714297531,0.2216323,9.984053798,1.044513343,0,FUM
TILDRA,0.957892248,0.273449559,3.355491085,0.268491271,3.417457685,1.563474533,0,FUM
USK,1.161770125,0.411792203,3.277647835,0.405604832,3.327647295,1.889737245,0,FUM
ADA,1.352662862,0.80626971,2.269335926,0.800203259,2.286540074,3.788083001,0,RISAN
APRE,1.362742829,0.64619184,2.873864854,0.63919203,2.90533663,2.626788417,0,RISAN
BIME,0.713189715,0.313589912,1.621989578,0.309851305,1.6415602,2.385410988,0,RISAN
BRODA,1.422483102,0.737169327,2.744902833,0.730129966,2.771367112,2.981706612,0,RISAN
CERTO,0.964472588,0.382576877,2.431426015,0.377447955,2.464465261,2.119716869,0,RISAN
DEUCRAVA,0.839167728,0.085570422,8.229508042,0.082765742,8.508381149,0.858492825,0,RISAN
ETA,1.098042424,0.616257297,1.95648339,0.61108324,1.973048985,3.39323611,0,RISAN
FUM,1.143956609,0.390975457,3.347107089,0.384896184,3.399973232,1.82562751,0,RISAN
GUSEL,1.239028326,0.725234455,2.116820544,0.719586785,2.133434388,3.659531015,0,RISAN
IFX,1.628471415,0.69956723,3.790799567,0.690992228,3.837842224,2.319704595,0,RISAN
IXE,1.248384589,0.70334039,2.215803476,0.697474435,2.234439003,3.416034517,0,RISAN
MTX,0.109942243,0.012236756,0.987786082,0.011850817,1.019954731,0.892730671,0,RISAN
NETA,1.086874858,0.043698153,27.03310968,0.04169559,28.3314601,0.6098783,0,RISAN
PBO,1.379964707,0.889401886,2.14110474,0.883717431,2.154877257,4.462009128,0,RISAN
SECU,1.461376816,0.903026633,2.364960366,0.896703644,2.381636577,4.071608393,0,RISAN
SONELO,1.701686428,0.325283651,8.902189491,0.317521213,9.119821226,1.184520864,0,RISAN
TILDRA,1.095787168,0.449580052,2.67082472,0.443771353,2.705784203,2.199987065,0,RISAN
USK,1.329014612,0.836900067,2.110502686,0.831269319,2.124798544,4.237944272,0,RISAN
ADA,1.896638207,0.88602697,4.059962741,0.876238158,4.105318235,2.575251062,0,BIME
APRE,1.910771848,0.739153165,4.939502703,0.7289767,5.008457823,2.063684917,0,BIME
BRODA,1.994536758,0.823971381,4.828052249,0.813407161,4.89075714,2.21711606,0,BIME
CERTO,1.352336647,0.452218235,4.044096996,0.445044923,4.109280457,1.789260954,0,BIME
DEUCRAVA,1.176640254,0.111396676,12.42839855,0.107628795,12.86349337,0.831452341,0,BIME
ETA,1.539621788,0.673435153,3.519916119,0.6653556,3.562659203,2.370297659,0,BIME
FUM,1.60400043,0.471852123,5.452592562,0.463499438,5.550853288,1.601843208,0,BIME
GUSEL,1.737305377,0.779344655,3.872779459,0.770278446,3.918362231,2.444996385,0,BIME
IFX,2.283363573,0.815985014,6.389515877,0.803820339,6.486212096,1.904745438,0,BIME
IXE,1.750424274,0.76745621,3.992390835,0.75827485,4.040731589,2.377105878,0,BIME
MTX,0.154155677,0.015884431,1.496054363,0.015366142,1.546515256,0.862439373,0,BIME
NETA,1.523963169,0.058098976,39.97426283,0.05539346,41.92667739,0.599953192,0,BIME
PBO,1.934919529,0.929526892,4.027762527,0.919632549,4.071097299,2.673412837,0,BIME
RISAN,1.40215146,0.616526773,3.188878089,0.609176563,3.227354494,2.385410988,0,BIME
SECU,2.049071636,0.939566579,4.468756833,0.92893358,4.519908269,2.513711828,0,BIME
SONELO,2.386022109,0.411353986,13.83990846,0.400932885,14.19963721,1.114948489,0,BIME
TILDRA,1.536459577,0.527959408,4.471381695,0.519791043,4.541648159,1.83483375,0,BIME
USK,1.863479779,0.872216406,3.981301959,0.862604442,4.025665434,2.581789707,0,BIME
ADA,1.611910012,0.165583655,15.69148773,0.160173674,16.221479,0.861273998,0,DEUCRAVA
APRE,1.623921875,0.159458789,16.53795484,0.154147376,17.10779858,0.844531309,0,DEUCRAVA
BIME,0.849877434,0.080460889,8.976928527,0.07773938,9.291193887,0.831452341,0,DEUCRAVA
BRODA,1.695111782,0.170154112,16.88706738,0.164539313,17.46332782,0.852618981,0,DEUCRAVA
CERTO,1.149320399,0.105952066,12.46731123,0.102328576,12.90878295,0.822168582,0,DEUCRAVA
ETA,1.308489815,0.134315016,12.74723891,0.129925242,13.17792888,0.86099309,0,DEUCRAVA
FUM,1.363203769,0.118198648,15.7220455,0.114054256,16.29333783,0.801561816,0,DEUCRAVA
GUSEL,1.476496635,0.15210408,14.33256964,0.147140597,14.8160491,0.862348728,0,DEUCRAVA
IFX,1.940579174,0.184306463,20.43253112,0.178080744,21.14685421,0.832575158,0,DEUCRAVA
