Treatment,Reference,TE,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,direct,direct_lower,direct_upper,indirect,indirect_lower,indirect_upper
SECU,APRE,3.416193669,1.9919652005000001,5.8587264382,1.9778706867,5.900476337,3.6336314717000002,0,,,,0.292723451,0.1706872513,0.5020118264
SONELO,APRE,3.3064975354,1.8433767788000002,5.9309231176,1.8292524485000001,5.9767179542,3.3544963993,0,,,,0.30243482390000004,0.1686096273,0.5424768691
TILDRA,APRE,2.4150154303,1.3544697365,4.3059651844,1.3441975866,4.3388707038,3.3892699067,0,,,,0.41407602930000004,0.2322384375,0.7382884584
USK,APRE,2.4588581713,1.4333290898,4.2181405162,1.4231818366,4.2482157593,3.6316653074,0,,,,0.4066928348,0.23707363780000001,0.6976695653
APRE,ADA,0.44323259670000004,0.25756761640000003,0.7627322780000001,0.2557336792,0.7682020429,3.6108238721,0,,,,2.2561517528,1.3110890979,3.8824369297
BIME,ADA,1.7452015976,1.5910135896000002,1.9143322447000002,1.5890774365,1.9166646926,21.1894670999,0,0.6026216969,0.5149533495,0.7052151616,0.5579111524,0.49760598310000004,0.6255247416
BRODA,ADA,1.3896794538,1.2240444797,1.5777277839,1.2220011741,1.5803658993,15.4437004215,0,,,,0.7195904043,0.6338243785000001,0.8169618707
CERTO,ADA,0.765561406,0.5657990349,1.0358523612,0.5635513693,1.0399837499,6.4821143552,0,,,,1.3062309466,0.9653939051,1.7674021732
CICLO,ADA,0.4042251602,0.07522359120000001,2.172164046,0.0735767598,2.2207824932,1.1656209688,0,,,,2.4738687703,0.4603846106,13.293291199
DEUCRAVA,ADA,0.8067440753,0.1141240065,5.7028842811,0.11122332880000001,5.8516141364,1.0021880152,0,,,,1.2395504729,0.1753561686,8.7620834052
ETA,ADA,0.6141659836000001,0.5387754196,0.70010591,0.5378473352,0.7013139804,14.9656705479,0,,,,1.6282243345,1.4283587558,1.8560564513000002
FUM,ADA,0.25111523480000003,0.1134259111,0.5559475834000001,0.11224539010000001,0.5617946632,2.4661468538999998,0,,,,3.9822354896,1.7987569943000001,8.8161989333
GUSEL,ADA,1.3898410004000001,1.2880746793,1.4996475262,1.2867859425,1.5011494473,25.7756546978,0,0.6888569240000001,0.6282914067,0.7552607861,0.7901515295,0.6903761876000001,0.9043467181
IFX,ADA,2.8898937889000003,1.1899037033,7.0186235137,1.1760850544,7.1010902484,2.2088305785,0,,,,0.34603347840000004,0.14248040280000002,0.8403904384
IXE,ADA,1.7407701149,1.5703517379,1.9296827072,1.5682233449,1.9323016729,19.0239585414,0,,,,0.5744583914,0.5182208917,0.6367988029
MTX,ADA,0.4003212367,0.0805446975,1.9896665761,0.0788623629,2.0321112218,1.2223604369,0,,,,2.4979938814000002,0.5026115814000001,12.4151007705
NETA,ADA,0.2588932633,0.11691327130000001,0.5732943837,0.1156961172,0.5793255938,2.4654600453,0,,,,3.8625956779,1.7443300276,8.5532239513
PBO,ADA,0.057680252700000004,0.0484732624,0.0686360148,0.0483624202,0.0687933222,11.2706820575,0,15.3125565949,10.8331850644,21.6440860261,18.0796602242,14.7855116228,22.1077310115
RISAN,ADA,1.6575052666999999,1.5033238309999999,1.8274996062,1.50139287,1.8298499775,20.0747525234,0,0.6540318686000001,0.5700252969,0.7504187753,0.5557425114,0.4837769214,0.6384135442000001
SECU,ADA,1.5141683908,1.3935549534,1.64522103,1.3920329946,1.6470198082,23.6120770975,0,,,,0.660428527,0.6078219929,0.7175881168
SONELO,ADA,1.4655474887,1.1531993275,1.8624962661,1.149566362,1.8683822984,8.1772704935,0,,,,0.6823388582000001,0.5369161928,0.8671489584000001
TILDRA,ADA,1.0704135603,0.8274521814,1.384714689,0.8246526031,1.3894155985,7.6131571826,0,,,,0.9342183592000001,0.7221738447,1.2085233344
USK,ADA,1.0898460922,0.9937466188,1.1952387886,0.9925397713,1.1966921016,21.2329170609,0,,,,0.9175607520000001,0.8366543203,1.0062910252
ADA,FUM,3.9822354896,1.7987307256,8.8163276855,1.7800097893,8.9090518433,2.4661468538999998,0,,,,0.25111523480000003,0.1134275675,0.5559394644
APRE,FUM,1.7650565768000002,0.6864508174,4.5384529235999995,0.6779694805,4.5952285598,2.0753842158,0,,,,0.5665540772000001,0.220343225,1.4567433254
BIME,FUM,6.9498037385,3.1393846585,15.3851079933,3.1067134714,15.5469026832,2.4663810617,0,,,,0.14388895540000002,0.0649988679,0.3185291088
BRODA,FUM,5.5340308402,2.4940818392,12.2792672073,2.4680512122,12.4087770906,2.4592350638,0,,,,0.18070011330000002,0.0814392771,0.4009432808
CERTO,FUM,3.0486458002,1.3173225124,7.0554030071,1.3028514091,7.1337691702,2.3358465508,0,,,,0.3280144909,0.1417375333,0.7591038429
CICLO,FUM,1.6097197787000002,0.2958885214,8.7573446695,0.28936383200000004,8.954808721100001,1.1571391236,0,,,,0.6212261371000001,0.1141934185,3.3795460231
DEUCRAVA,FUM,3.2126448875,0.39472299,26.1476717459,0.38397725590000004,26.8794232352,0.9348176450000001,0,,,,0.31127000800000004,0.0382457963,2.5333246335
ETA,FUM,2.4457535765,1.1028759625,5.4237382629,1.0913733925,5.4809019519,2.4609759298,0,,,,0.4088719361,0.18437737710000002,0.9067070092
