comparison,k,direct,direct_low,direct_up,nma,indirect,indirect_low,indirect_up,p-value
BIME:IFX,0,,,,0.6038981793,0.6038981793,0.24870370290000002,1.4663754773,
BIME:IXE,0,,,,1.0025457024,1.0025457024,0.9054002917,1.1101143823,
BIME:MTX,0,,,,4.3595029127,4.3595029127,0.877191346,21.6660432555,
BIME:NETA,0,,,,6.741008148,6.741008148,3.0444372398,14.925973923,
BIME:PBO,3,25.5225794083,11.2382705012,57.9628386397,30.2564832016,30.4987293715,25.5365405236,36.4251568224,0.6774206342
BIME:RISAN,0,,,,1.0529086288,1.0529086288,0.9485920886,1.1686968444,
BIME:SECU,1,1.1506702413,1.0696567331,1.2378195389,1.1525809205,1.1583271588,1.020791833,1.3143931636000001,0.9290388871
BIME:SONELO,0,,,,1.1908188654,1.1908188654,0.9427446030000001,1.5041715070000001,
BIME:TILDRA,0,,,,1.6303993731,1.6303993731,1.263074577,2.104548824,
BIME:USK,1,1.7114341756,1.456743555,2.0106537815,1.6013284904,1.5693581821,1.4361035309,1.7149774029,0.3557842155
BRODA:CERTO,0,,,,1.8152423085,1.8152423085,1.3341816477,2.4697571312,
BRODA:CICLO,0,,,,3.4378846016,3.4378846016,0.6391112043,18.4929484164,
BRODA:DEUCRAVA,0,,,,1.7225778242,1.7225778242,0.24346750560000002,12.1875580624,
BRODA:ETA,0,,,,2.262709904,2.262709904,1.9607897661,2.6111193551,
BRODA:FUM,0,,,,5.5340308402,5.5340308402,2.4941183653,12.2790873789,
BRODA:GUSEL,0,,,,0.9998837662000001,0.9998837662000001,0.8904857523,1.122721552,
BRODA:IFX,0,,,,0.4808756153,0.4808756153,0.1976105186,1.1701874933,
BRODA:IXE,0,,,,0.7983130236,0.7983130236,0.7051516271,0.9037824763000001,
BRODA:MTX,0,,,,3.4714107729,3.4714107729,0.6976952992000001,17.2721426787,
BRODA:NETA,0,,,,5.3677698521,5.3677698521,2.4186525859,11.9128118494,
BRODA:PBO,5,26.6006313004,16.9428351959,41.7635878174,24.0928114598,23.622304621,19.3148969585,28.8903055918,0.6375371522000001
BRODA:RISAN,0,,,,0.8384163126,0.8384163126,0.7376117502,0.9529971737,
BRODA:SECU,0,,,,0.9177839547000001,0.9177839547000001,0.8268155484,1.0187609427,
BRODA:SONELO,0,,,,0.9482322917,0.9482322917,0.7400409831,1.2149928174,
BRODA:TILDRA,0,,,,1.2982640592,1.2982640592,0.9971115029000001,1.6903722025999999,
BRODA:USK,2,1.2700166812,1.161286415,1.3889272703,1.2751153248,1.476051496,0.8593933943000001,2.5351928852,0.5909529903
CERTO:CICLO,0,,,,1.893898454,1.893898454,0.3449895349,10.3969859683,
CERTO:DEUCRAVA,0,,,,0.9489520028,0.9489520028,0.1317941949,6.8326977863,
CERTO:ETA,1,1.1964912281,0.8955481886000001,1.5985641835000002,1.2465057108,1.8671768143,0.7515372506,4.6389573542,0.3610893928
