studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
Gordon_2015_X-PLORE,PBO,ADA,0.023530497,-0.139520161,0.163050658,1.397474387
Cai_2016,PBO,ADA,1.069455704,-0.139520161,1.208975865,0.754241673
VOYAGE-1_2016,PBO,ADA,-0.041061487,-0.139520161,0.098458674,0.70089861
VOYAGE-2_2017,PBO,ADA,-0.693147181,-0.139520161,-0.55362702,0.701381126
Elewski_2016,PBO,ADA,-0.460786974,-0.139520161,-0.321266814,0.553684413
Gordon_2015_X-PLORE,GUSEL,ADA,-0.477725675,-0.093408246,-0.38431743,1.14248406
VOYAGE-1_2016,GUSEL,ADA,0.302765315,-0.093408246,0.396173561,0.534446575
VOYAGE-2_2017,GUSEL,ADA,-0.405465108,-0.093408246,-0.312056862,0.534432671
IMMvent_2019,RISAN,ADA,0.115277952,0.115277952,0,0.452216075
BE SURE_2021,BIME,ADA,-0.696286901,-0.696286901,0,0.624960715
UNCOVER-2_2015,ETA,IXE,0.182178301,-0.066214687,0.248392988,0.444631439
UNCOVER-3_2015,ETA,IXE,-0.396344524,-0.066214687,-0.330129837,0.512593259
Leonardi_2012,PBO,IXE,0.755948082,0.053684666,0.702263416,1.205930061
UNCOVER-2_2015,PBO,IXE,-0.447547054,0.053684666,-0.501231719,0.754677435
UNCOVER-3_2015,PBO,IXE,0.286385896,0.053684666,0.232701231,0.510086564
UNCOVER-1_2016,PBO,IXE,-0.584312429,0.053684666,-0.637997094,0.502074995
NCT03364309,PBO,IXE,1.38059634,0.053684666,1.326911675,0.807741226
IXORA-R_2020,GUSEL,IXE,-0.092465228,-0.092465228,0,0.337875853
IXORA-S_2017  ,USK,IXE,0.311492721,0.311492721,0,0.721079951
CIMPACT_2018,ETA,CERTO,-0.940101381,-0.940101381,0,1.091377844
Reich_2012a,PBO,CERTO,-1.235668535,0.500477538,-1.736146073,1.056948999
CIMPASI-1_2018,PBO,CERTO,-0.668249629,0.500477538,-1.168727167,1.057253432
CIMPASI-2_2018,PBO,CERTO,-1.282333426,0.500477538,-1.782810964,1.458780961
CIMPACT_2018,PBO,CERTO,1.762083701,0.500477538,1.261606163,0.615990335
Umezawa_2021,PBO,CERTO,0.663876798,0.500477538,0.16339926,1.204839189
Gordon_2015_X-PLORE,PBO,GUSEL,0.501256173,-0.064062065,0.565318238,1.142241707
VOYAGE-1_2016,PBO,GUSEL,-0.343826802,-0.064062065,-0.279764737,0.670482433
VOYAGE-2_2017,PBO,GUSEL,-0.287682073,-0.064062065,-0.223620008,0.672521335
ORION_2020 ,PBO,GUSEL,-0.277631737,-0.064062065,-0.213569672,1.524268329
Ohtsuki_2018,PBO,GUSEL,0.693147181,-0.064062065,0.757209246,0.988211769
Gordon_2015_X-PLORE,ADA,GUSEL,0.477725675,0.093408246,0.38431743,1.14248406
VOYAGE-1_2016,ADA,GUSEL,-0.302765315,0.093408246,-0.396173561,0.534446575
VOYAGE-2_2017,ADA,GUSEL,0.405465108,0.093408246,0.312056862,0.534432671
IXORA-R_2020,IXE,GUSEL,0.092465228,0.092465228,0,0.337875853
ECLIPSE_2019,SECU,GUSEL,0.152582925,0.152582925,0,0.231326334
FIXTURE_2014,ETA,SECU,-0.603073014,-0.603073014,0,0.647800809
FEATURE_2015,PBO,SECU,-0.693147181,-0.115696836,-0.577450344,1.106605743
ERASURE_2014,PBO,SECU,-0.235314087,-0.115696836,-0.119617251,0.586452833
FIXTURE_2014,PBO,SECU,0.090074167,-0.115696836,0.205771003,0.502970398
Papp_2013a,PBO,SECU,1.138221427,-0.115696836,1.253918263,0.882139473
Rich_2013,PBO,SECU,-0.869516339,-0.115696836,-0.753819502,1.032201822
JUNCTURE_2015,PBO,SECU,-0.70137768,-0.115696836,-0.585680843,1.106951713
Reich_2015,PBO,SECU,-0.554075608,-0.115696836,-0.438378771,1.423743486
TRANSFIGURE_2016,PBO,SECU,0.022814678,-0.115696836,0.138511514,0.852699588
CARIMA_2019,PBO,SECU,1.426299696,-0.115696836,1.541996532,1.2123481
VIP-S trial_2020,PBO,SECU,-1.587697926,-0.115696836,-1.472001089,1.535094981
ALLURE_2021,PBO,SECU,1.393311934,-0.115696836,1.50900877,1.21610957
Cai_2020,PBO,SECU,-0.839917753,-0.115696836,-0.724220917,0.749379866
NCT03055494 ObePso-S,PBO,SECU,0.656779536,-0.115696836,0.772476373,1.394907594
NCT03535194,PBO,SECU,-1.752538756,-0.115696836,-1.63684192,1.440776866
Papp_2021,PBO,SECU,1.117480773,-0.115696836,1.233177609,1.621396762
NCT03589885 MATURE,PBO,SECU,-1.485728258,-0.115696836,-1.370031422,1.47831311
ECLIPSE_2019,GUSEL,SECU,-0.152582925,-0.152582925,0,0.231326334
IMMerge_2021,RISAN,SECU,0.399348881,0.399348881,0,0.515310826
CLEAR_2015,USK,SECU,-0.005917177,-0.234629929,0.228712752,0.440548282
CLARITY_2018,USK,SECU,-0.44546252,-0.234629929,-0.210832591,0.42297743
Papp_2021,SONELO,SECU,1.037637886,1.037637886,0,1.469125737
METOP_2017,PBO,MTX,2.529858038,2.529858038,4.44E-16,1.097510014
BRIDGE_2017,PBO,FUM,0.187564961,0.187564961,0,0.499810332
UltIMMa-1_2018  ,PBO,RISAN,0.244757028,0.604417272,-0.359660244,0.680512367
UltIMMa-2_2018  ,PBO,RISAN,-0.693147181,0.604417272,-1.297564452,1.073806884
SustaIMM_2019,PBO,RISAN,-0.719349553,0.604417272,-1.323766825,1.106304236
IMMhance_2020,PBO,RISAN,1.403643,0.604417272,0.799225728,0.48738383
Blauvelt_2021,PBO,RISAN,-0.400714505,0.604417272,-1.005131777,1.62423532
IMMvent_2019,ADA,RISAN,-0.115277952,-0.115277952,0,0.452216075
IMMerge_2021,SECU,RISAN,-0.399348881,-0.399348881,0,0.515310826
UltIMMa-1_2018  ,USK,RISAN,1.245388908,0.622605412,0.622783496,0.504546994
UltIMMa-2_2018  ,USK,RISAN,0.395312737,0.622605412,-0.227292676,0.69749382
Papp_2017b,USK,RISAN,-0.151880531,0.622605412,-0.774485944,0.625544496
BE ABLE 1_2018,PBO,BIME,1.599868461,0.54612914,1.053739322,1.404059395
BE READY_2021,PBO,BIME,0.302112337,0.54612914,-0.244016802,0.807572554
BE VIVID_2021,PBO,BIME,0.436309784,0.54612914,-0.109819356,0.827548514
BE SURE_2021,ADA,BIME,0.696286901,0.696286901,0,0.624960715
BE VIVID_2021,USK,BIME,0.677690922,0.677690922,0,0.625099805
Papp_2018,PBO,DEUCRAVA,0.497402603,0.497402603,0,1.143068942
PLANETA_2021,PBO,NETA,0.238751449,0.238751449,-2.78E-17,1.624282935
ACCEPT_2010,ETA,USK,-0.221703666,-0.221703666,0,0.608538901
Igarashi_2012,PBO,USK,0.965080896,0.02358234,0.941498556,0.89114916
Krueger_2007,PBO,USK,-0.810930216,0.02358234,-0.834512556,1.044786993
PHOENIX1_2008,PBO,USK,-0.403506244,0.02358234,-0.427088584,0.812888769
PHOENIX2_2008,PBO,USK,0.207639365,0.02358234,0.184057025,0.445269065
PEARL_2011,PBO,USK,1.625831722,0.02358234,1.602249382,1.538574311
AMAGINE-2_2015,PBO,USK,0.663588378,0.02358234,0.640006038,0.606984696
AMAGINE-3_2015,PBO,USK,0.39909566,0.02358234,0.37551332,0.909375523
UltIMMa-1_2018  ,PBO,USK,-1.00063188,0.02358234,-1.02421422,0.662215533
UltIMMa-2_2018  ,PBO,USK,-1.088459917,0.02358234,-1.112042257,1.145874444
BE VIVID_2021,PBO,USK,-0.241381139,0.02358234,-0.264963479,0.82572201
AMAGINE-2_2015,BRODA,USK,0.153682953,0.404031369,-0.250348416,0.546333154
AMAGINE-3_2015,BRODA,USK,0.864199034,0.404031369,0.460167666,0.740701429
IXORA-S_2017  ,IXE,USK,-0.311492721,-0.311492721,0,0.721079951
CLEAR_2015,SECU,USK,0.005917177,0.234629929,-0.228712752,0.440548282
CLARITY_2018,SECU,USK,0.44546252,0.234629929,0.210832591,0.42297743
UltIMMa-1_2018  ,RISAN,USK,-1.245388908,-0.622605412,-0.622783496,0.504546994
UltIMMa-2_2018  ,RISAN,USK,-0.395312737,-0.622605412,0.227292676,0.69749382
Papp_2017b,RISAN,USK,0.151880531,-0.622605412,0.774485944,0.625544496
BE VIVID_2021,BIME,USK,-0.677690922,-0.677690922,0,0.625099805
ReSURFACE-2_2017,ETA,TILDRA,0.328452948,0.328452948,0,0.487905676
Papp_2015,PBO,TILDRA,-0.301718798,0.026814423,-0.32853322,1.482391928
ReSURFACE-1_2017,PBO,TILDRA,-1.183505451,0.026814423,-1.210319873,1.033852368
ReSURFACE-2_2017,PBO,TILDRA,0.465184343,0.026814423,0.43836992,0.58479008
Papp_2021,PBO,SONELO,0.079842888,0.079842888,0,0.908097498
Papp_2021,SECU,SONELO,-1.037637886,-1.037637886,0,1.469125737
