unique_id,name,bias,year_publication,treat,treat_class,nPASI90,rPASI90,rAE,nAE,rSAE,nSAE,dlqi,sddlqi,ndlqi,age,male_percentage,weight,bmi
68,Gordon_2015_X-PLORE,H,2015,ADA,ATA,43,19,24,43,1,43,-10.1,9,43,47,0.71,92,31
68,Gordon_2015_X-PLORE,H,2015,GUSEL,AIL23,208,97,103,208,3,208,-9.9792318,6.539125,208,47,0.71,92,31
68,Gordon_2015_X-PLORE,H,2015,PBO,PBO,42,1,22,42,1,42,-2.3,6.8000002,42,47,0.71,92,31
69,UNCOVER-2_2015,L,2015,ETA,ATA,358,67,211,358,8,358,-7.6999998,5.6799998,358,45,0.67,91,31
69,UNCOVER-2_2015,L,2015,IXE,AIL17,698,455,420,698,13,698,-9.9028645,5.6233878,698,45,0.67,91,31
69,UNCOVER-2_2015,L,2015,PBO,PBO,168,1,89,168,2,168,-2,5.1799998,168,45,0.67,91,31
70,UNCOVER-3_2015,L,2015,ETA,ATA,382,98,187,382,5,382,-8,3.9100001,382,46,0.68,91,30.5
70,UNCOVER-3_2015,L,2015,IXE,AIL17,771,514,420,771,15,771,-9.8996115,3.9339306,771,46,0.68,91,30.5
70,UNCOVER-3_2015,L,2015,PBO,PBO,193,6,70,193,5,193,-1.7,4.1700001,193,46,0.68,91,30.5
72,CLEAR_2015,L,2015,SECU,AIL17,337,264,215,337,10,337,0,NA,337,45,0.71,87,29
72,CLEAR_2015,L,2015,USK,AIL1223,339,193,196,339,10,339,0,NA,339,45,0.71,87,29
73,JUNCTURE_2015,L,2015,PBO,PBO,61,0,33,61,1,61,0,NA,61,45,0.69,91,.
73,JUNCTURE_2015,L,2015,SECU,AIL17,121,57,81,121,4,121,0,NA,121,45,0.69,91,.
74,AMAGINE-1 2016,L,2016,BRODA,AIL17,298,186,173,298,6,298,1.3312751,NA,298,46,0.73,91,.
74,AMAGINE-1 2016,L,2016,PBO,PBO,220,2,112,220,3,220,0,NA,220,46,0.73,91,.
75,Nakagawa_2016,H,2015,BRODA,AIL17,113,64,69,113,3,113,0.56389356,9.945344,113,45,0.79,74,.
75,Nakagawa_2016,H,2015,PBO,PBO,38,1,17,38,1,38,-2,6.6999998,38,45,0.79,74,.
76,AMAGINE-2_2015,M,2015,BRODA,AIL17,1222,731,719,1222,19,1222,0,NA,1222,45,0.69,91,31
76,AMAGINE-2_2015,M,2015,PBO,PBO,309,10,165,309,8,309,0,NA,309,45,0.69,91,31
76,AMAGINE-2_2015,M,2015,USK,AIL1223,300,141,177,300,4,300,0,NA,300,45,0.69,91,31
77,AMAGINE-3_2015,M,2015,BRODA,AIL17,1253,756,682,1253,19,1253,0,NA,1253,45,0.68,89,30
77,AMAGINE-3_2015,M,2015,PBO,PBO,315,5,152,315,3,315,0,NA,315,45,0.68,89,30
77,AMAGINE-3_2015,M,2015,USK,AIL1223,313,149,168,313,2,313,0,NA,313,45,0.68,89,30
78,Papp_2015,M,2015,PBO,PBO,46,1,31,46,0,46,1,7.0900002,46,45,0.76,NA,29
78,Papp_2015,M,2015,TILDRA,AIL23,309,105,198,309,4,309,-8.3077669,6.8947244,309,45,0.76,NA,29
79,PIECE_2016,H,2016,ETA,ATA,23,1,23,23,1,23,-3,2.2,23,44,0.65,NA,.
79,PIECE_2016,H,2016,IFX,ATA,25,10,24,25,1,25,-4.5999999,2.5,25,44,0.65,NA,.
80,Cai_2016,L,2016,ADA,ATA,338,188,158,338,4,338,-9.0699997,NA,338,43,0.73,70,24
80,Cai_2016,L,2016,PBO,PBO,87,3,37,87,3,87,-4.1700001,NA,87,43,0.73,70,24
81,Reich_2015,L,2015,PBO,PBO,10,0,3,10,0,10,0,NA,10,NA,,NA,.
81,Reich_2015,L,2015,SECU,AIL17,90,42,71,90,7,90,0,NA,90,NA,,NA,.
84,Gottlieb_2011,L,2011,ETA,ATA,141,33,76,141,1,141,-8.0100002,6.1799998,141,43.5,0.7,95,.
84,Gottlieb_2011,L,2011,PBO,PBO,68,1,31,68,1,68,-3.3,6,68,43.5,0.7,95,.
85,Strober_2011,L,2011,ETA,ATA,139,27,69,139,1,139,-9.0900002,7.4299998,139,45,0.62,95,.
85,Strober_2011,L,2011,PBO,PBO,72,3,32,72,2,72,-2.8900001,5.6900001,72,45,0.62,95,.
86,UNCOVER-1_2016,L,2016,IXE,AIL17,865,586,320,865,18,865,-10.900231,5.5112357,865,46,0.68,92,.
86,UNCOVER-1_2016,L,2016,PBO,PBO,431,2,122,431,5,431,-1,5.6100001,431,46,0.68,92,.
87,METOP_2017,L,2016,MTX,CSA,91,16,75,91,1,91,-9.3999996,6.5799999,91,45,0.83,93,30
87,METOP_2017,L,2016,PBO,PBO,29,0,27,29,4,29,-2.5999999,5.8299999,29,45,0.83,93,30
88,BRIDGE_2017,H,2016,FUM,CSA,566,110,472,566,17,566,0,NA,566,44.5,0.64,NA,.
88,BRIDGE_2017,H,2016,PBO,PBO,138,6,82,138,5,138,0,NA,138,44.5,0.64,NA,.
91,Papp_2012c,L,2012,APRE,SM,264,22,142,264,7,264,1.5599998,7.330605,264,44,0.63,92,31
91,Papp_2012c,L,2012,PBO,PBO,88,1,35,88,2,88,-1.9,5.9099998,88,44,0.63,92,31
93,LIBERATE_2017,M,2016,APRE,SM,83,12,58,83,3,83,-8.3000002,NA,83,45,0.63,88.5,29.5
93,LIBERATE_2017,M,2016,ETA,ATA,83,17,44,83,2,83,-7.8000002,NA,83,45,0.63,88.5,29.5
93,LIBERATE_2017,M,2016,PBO,PBO,84,3,50,84,0,84,-3.7999997,NA,84,45,0.63,88.5,29.5
94,VOYAGE-1_2016,L,2016,ADA,ATA,334,166,170,334,6,334,-9.3000002,7.8000002,334,44,0.73,NA,30
94,VOYAGE-1_2016,L,2016,GUSEL,AIL23,329,241,170,329,8,329,-11.2,7.2399998,329,44,0.73,NA,30
94,VOYAGE-1_2016,L,2016,PBO,PBO,174,5,86,174,3,174,-0.60000002,6.3600001,174,44,0.73,NA,30
95,VOYAGE-2_2017,L,2016,ADA,ATA,248,116,120,248,6,248,-9.6999998,6.8000002,248,44,0.7,NA,30
95,VOYAGE-2_2017,L,2016,GUSEL,AIL23,496,347,235,496,8,496,-11.3,6.8000002,496,44,0.7,NA,30
95,VOYAGE-2_2017,L,2016,PBO,PBO,248,6,111,248,3,248,-2.5999999,6.9000001,248,44,0.7,NA,30
97,CLARITY_2018,L,2018,SECU,AIL17,550,421,261,550,14,550,0,NA,550,45,0.66,92,.
97,CLARITY_2018,L,2018,USK,AIL1223,552,299,256,552,9,552,0,NA,552,45,0.66,92,.
99,Elewski_2016,L,2016,ADA,ATA,109,47,64,109,8,109,-8,6.2600002,109,47,0.84,90,29
99,Elewski_2016,L,2016,PBO,PBO,108,7,61,108,5,108,-1.9,6.2399998,108,47,0.84,90,29
