Study ID,Year,Author,t,y1,y1bas,sd1,sd1bas,n1,y2,y2bas,sd2,sd2bas,n2,HTN stage,Intervention (weeks),rob,Age,Male %,Female %,BMI,Body fat %,Fasting glucose,Hba1c,eGFR
42,2022,Janssen,DIET,134.23,137.3,15.26,,16,82.07,84.5,9.85,,16,2,6,M,50.63,32.5,67.5,32.85,,,,
43,2024,Jariah,CONTROL,139.33,147.72,13.71,15.72,18,86.22,89.44,5.68,5.46,18,3,,M,,50,50,,,,,
43,2024,Jariah,DIET,142.61,146.05,11.63,12.41,18,86.61,90.11,7.57,7.56,18,3,,M,,39,61,,,,,
44,2018,Kucharska,CONTROL,129.22,130.06,6.21,6.39,62,84.84,83.1,3.69,3.71,62,2,12,M,59.72,50,50,33.2,35.44,93.5,,
44,2018,Kucharska,DIET,126.22,130.84,5.17,5.06,69,82.52,85.16,3.28,3.67,69,2,12,M,59.72,50,50,33.2,35.44,93.5,,
45,2011,Prather,CONTROL,147,147.4,14.3,11.7,39,87.1,85.9,8.5,6.9,39,3,16,M,54,42,58,31.85,,,,78.55
45,2011,Prather,DIET,132.6,140.1,13.7,12.9,79,79.5,83.7,7.8,8.3,79,3,16,M,54,42,58,31.85,,,,78.55
46,2015,Rabiei,CONTROL,137,140.2,20,1,23,80,90.7,20,1,23,3,12,M,58.95,38,62,31.95,46.35,,,
46,2015,Rabiei,DIET,120,140,10,1,13,80,90,10,1,13,3,12,M,58.95,38,62,31.95,46.35,,,
47,2005,Ward,CONTROL,134.1,134.1,8.2,8.2,18,78.2,78.2,7.1,7.1,18,2,24,L,61.55,70.5,29.5,29,,,,
47,2005,Ward,DIET,131.8,133.6,9.8,9.8,19,82.3,80.8,7.9,7.9,19,2,24,L,61.55,70.5,29.5,29,,,,
48,2005,Ward,CONTROL,134.1,134.1,8.2,8.2,18,78.2,78.2,7.1,7.1,18,2,24,L,62.45,76.5,23.5,28.5,,,,
48,2005,Ward,DIET,132.3,133.6,11.6,11.6,16,83,79.8,9.8,9.8,16,2,24,L,62.45,76.5,23.5,28.5,,,,
49,2005,Ward,CONTROL,134.1,134.1,8.2,8.2,18,78.2,78.2,7.1,7.1,18,2,24,L,62.45,70,30,28.95,,,,
49,2005,Ward,DIET,143.6,138.8,11,11,16,82.3,79.6,11,11,16,2,24,L,62.45,70,30,28.95,,,,
50,2017,Wright,CONTROL,132,132,39.59,39.6,32,78,78,16.97,16.97,32,2,12,M,56,40,60,31.7,,,3.9,
50,2017,Wright,DIET,132,133,34.46,34.46,33,82,81,17.23,17.23,33,2,12,M,56,40,60,31.7,,,3.9,
51,2013,Kosmala,CONTROL,130,131,6,6,55,79,79,4,5,55,2,24,M,58.8,38,62,32.75,,96,,
51,2013,Kosmala,DRUGS,128,132,6,5,58,77,80,5,4,58,2,24,M,58.8,38,62,32.75,,96,,
52,1995,Liebson,CONTROL,132.3,141.4,12.2,,234,83.5,92.1,2.6,,234,3,48,L,54.7,62.5,37.5,28.85,,,,
52,1995,Liebson,DRUGS,123.8,139.7,12.6,,673,77.3,89.6,3.5,,673,3,48,L,54.7,62.5,37.5,28.85,,,,
53,1985,MacMahon,CONTROL,142.9,150.3,9.7172,,19,95.8,98.9,7.664,,19,3,21,H,42,75,25,33.2,,,,
53,1985,MacMahon,DIET,136.5,149.8,9.282,,18,91.2,101.2,7.296,,18,3,21,H,42,75,25,33.2,,,,
53,1985,MacMahon,DRUGS,141.3,151.2,9.6084,,18,94.7,100.9,7.576,,18,3,21,H,42,75,25,33.2,,,,
54,1985,MacMahon,CONTROL,142.9,150.3,11.2,11.2,18,95.8,98.9,5,5,18,3,21,M,41.9,23,77,33.23,,,,
54,1985,MacMahon,DIET,136.5,149.8,9.9,9.9,20,91.4,101.2,5.4,5.4,20,3,21,M,41.9,23,77,33.23,,,,
54,1985,MacMahon,DRUGS,141.3,151.2,10.1,10.1,18,94.7,100.9,4.8,4.8,18,3,21,M,41.9,23,77,33.23,,,,
55,1986,MacMahon,CONTROL,140.8,149.7,13.6,10.1,12,94.2,98.6,5.7,5.7,12,3,21,M,41.46,70.33,29.66,32.16,,,,
55,1986,MacMahon,DIET,135.7,149.9,8.3,9.1,15,88.2,100.9,7,4.9,15,3,21,M,41.46,70.33,29.66,32.16,,,,
55,1986,MacMahon,DRUGS,138.6,151,9.9,7.1,14,93,100.5,8,4.6,14,3,21,M,41.46,70.33,29.66,32.16,,,,
56,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
56,2003,Materson,DRUGS,139,152.4,11.1,11.1,56,88.9,99.4,6,6,56,3,8,M,60,,,28.5,,,,
57,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
57,2003,Materson,DRUGS,137.3,150.7,9.3,9.3,62,89.1,98.9,6.3,6.3,62,3,8,M,57.4,,,34.1,,,,
58,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
58,2003,Materson,DRUGS,141.5,152.4,13.5,13.5,53,87,99.4,6.6,6.6,53,3,8,M,60,,,28.5,,,,
59,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
59,2003,Materson,DRUGS,139.6,150.7,11.5,11.5,64,86.3,98.9,6.3,6.3,64,3,8,M,57.4,,,34.1,,,,
60,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
60,2003,Materson,DRUGS,144.1,152.4,10,10,56,90.9,99.4,6.6,6.6,56,3,8,M,60,,,28.5,,,,
61,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
61,2003,Materson,DRUGS,141.5,150.7,10.5,10.5,60,89,98.9,7,7,60,3,8,M,57.4,,,34.1,,,,
62,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
62,2003,Materson,DRUGS,135.1,152.4,13.4,13.4,55,87,99.4,5.9,5.9,55,3,8,M,60,,,28.5,,,,
63,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
63,2003,Materson,DRUGS,135.4,150.7,9.7,9.7,54,87.2,98.9,5.3,5.3,54,3,8,M,57.4,,,34.1,,,,
64,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
64,2003,Materson,DRUGS,138.6,152.4,9.2,9.2,53,85.4,99.4,4.9,4.9,53,3,8,M,60,,,28.5,,,,
65,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
65,2003,Materson,DRUGS,139.7,150.7,8.2,8.2,61,85,98.9,5.5,5.5,61,3,8,M,57.4,,,34.1,,,,
66,2003,Materson,CONTROL,148.3,152.4,11.4,11.4,37,93.9,99.4,6.7,6.7,37,3,8,M,60,,,28.5,,,,
66,2003,Materson,DRUGS,139.3,152.4,11.2,11.2,41,87.9,99.4,6.2,6.2,41,3,8,M,60,,,28.5,,,,
67,2003,Materson,CONTROL,149.1,150.7,10.4,10.4,69,94,98.9,7.1,7.1,69,3,8,M,57.4,,,34.1,,,,
67,2003,Materson,DRUGS,140.7,150.7,11.3,11.3,72,88.8,98.9,7,7,72,3,8,M,57.4,,,34.1,,,,
